order_id,product_id,quantity,unit_price
1,35,1,2865.41
2,29,1,4319.5
2,13,3,2131.33
3,18,1,1854.55
4,60,5,579.94
5,33,1,312.93
6,78,1,876.32
6,72,1,1918.28
6,26,1,1210.27
7,92,1,1591.57
7,86,1,443.28
7,14,1,2714.07
8,37,4,1389.36
9,41,1,994.52
9,85,5,279.38
10,40,2,1418.4
10,17,1,2276.26
11,49,5,1254.37
11,43,1,1760.38
12,8,2,2448.97
12,69,1,1191.69
13,19,2,1007.13
13,74,2,1549.39
13,38,1,1342.05
14,51,1,1385.93
14,20,2,7731.56
15,33,1,312.93
15,96,2,320.77
16,87,2,979.4
16,21,1,836.3
16,20,3,7731.56
16,31,1,1451.87
17,27,1,2010.3
17,89,1,366.64
18,94,1,265.1
18,44,1,6528.88
19,22,1,1475.64
19,11,4,9461.52
20,39,1,1121.52
20,71,1,704.54
20,54,3,1639.4
20,85,2,279.38
21,73,1,1195.7
22,61,1,356.45
23,14,3,2714.07
23,52,1,3818.59
24,84,1,605.41
24,54,1,1639.4
24,92,1,1591.57
24,17,1,2276.26
24,76,1,1151.77
25,11,1,9461.52
25,35,1,2865.41
25,74,1,1549.39
26,23,2,2025.31
26,82,4,300.41
26,76,2,1151.77
26,27,1,2010.3
26,50,2,1105.68
27,16,2,13450.97
27,84,1,605.41
28,71,1,704.54
28,93,2,186.14
29,43,5,1760.38
29,76,3,1151.77
29,78,2,876.32
30,37,1,1389.36
30,18,1,1854.55
30,87,1,979.4
31,74,1,1549.39
31,23,1,2025.31
32,31,5,1451.87
33,44,3,6528.88
33,27,1,2010.3
34,41,2,994.52
35,14,1,2714.07
35,95,1,744.54
36,33,2,312.93
36,97,1,423.56
37,66,4,728.79
37,47,1,493.52
37,4,4,2324.92
37,80,2,629.19
38,89,1,366.64
39,44,1,6528.88
39,24,2,2116.77
40,29,4,4319.5
41,68,1,306.66
42,45,1,1626.32
42,96,1,320.77
42,64,2,356.43
42,98,5,322.02
43,33,1,312.93
43,61,1,356.45
44,51,4,1385.93
45,10,1,1936.14
46,86,1,443.28
46,19,3,1007.13
46,7,5,1169.34
47,3,1,64028.3
47,52,2,3818.59
47,15,1,3494.53
47,49,1,1254.37
48,47,2,493.52
48,4,1,2324.92
48,76,3,1151.77
48,92,1,1591.57
48,18,3,1854.55
49,22,3,1475.64
49,84,1,605.41
50,39,3,1121.52
51,28,1,579.08
52,55,1,1652.62
52,54,3,1639.4
52,18,1,1854.55
52,56,4,868.37
53,72,1,1918.28
53,100,2,828.75
53,81,2,641.39
54,13,2,2131.33
55,78,1,876.32
56,15,1,3494.53
56,12,2,5690.75
56,6,2,22709.9
57,22,1,1475.64
57,82,1,300.41
58,85,1,279.38
59,92,1,1591.57
60,24,2,2116.77
61,43,1,1760.38
61,10,1,1936.14
61,42,1,800.81
61,63,2,293.58
62,81,1,641.39
63,88,1,457.85
64,85,2,279.38
64,25,2,1652.78
65,56,1,868.37
65,9999,5,3359.45
65,43,3,1760.38
65,15,1,3494.53
66,10,1,1936.14
66,93,1,186.14
67,32,4,910.33
68,33,1,312.93
69,25,1,1652.78
70,47,1,493.52
70,27,1,2010.3
70,92,2,1591.57
71,82,1,300.41
71,89,2,366.64
71,28,2,579.08
71,80,3,629.19
71,87,1,979.4
72,60,4,579.94
72,42,2,800.81
73,51,1,1385.93
74,14,3,2714.07
74,33,1,312.93
74,74,1,1549.39
75,28,2,579.08
75,21,1,836.3
75,94,1,265.1
76,44,2,6528.88
77,43,1,1760.38
78,19,1,1007.13
78,29,2,4319.5
79,50,1,1105.68
79,16,1,13450.97
80,55,1,1652.62
80,61,1,356.45
81,44,3,6528.88
81,54,2,1639.4
81,34,1,709.99
82,98,1,322.02
82,32,1,910.33
82,35,1,2865.41
83,9,1,11424.27
84,45,1,1626.32
84,58,4,470.58
84,66,1,728.79
84,71,5,704.54
85,2,1,3011.06
85,60,2,579.94
85,54,2,1639.4
85,70,3,3359.45
86,29,3,4319.5
86,43,2,1760.38
86,2,1,3011.06
87,55,1,1652.62
87,6,1,22709.9
87,16,1,13450.97
87,24,1,2116.77
88,95,2,744.54
88,69,2,1191.69
88,32,2,910.33
89,37,1,1389.36
89,62,2,398.9
89,30,1,3480.53
89,8,2,2448.97
90,23,2,2025.31
90,26,1,1210.27
91,23,1,2025.31
91,14,3,2714.07
91,20,1,7731.56
91,79,2,1101.69
92,6,2,22709.9
93,83,1,741.33
93,1,1,28043.24
93,55,3,1652.62
94,51,1,1385.93
94,13,2,2131.33
94,50,1,1105.68
94,19,2,1007.13
95,16,3,13450.97
95,47,2,493.52
95,45,2,1626.32
96,45,1,1626.32
96,51,1,1385.93
96,7,2,1169.34
96,46,1,253.36
97,23,2,2025.31
97,96,1,320.77
98,10,1,1936.14
98,96,1,320.77
98,29,1,4319.5
99,10,5,1936.14
99,14,1,2714.07
99,8,1,2448.97
99,5,1,3026.39
100,13,1,2131.33
100,47,1,493.52
100,52,3,3818.59
100,76,3,1151.77
101,74,3,1549.39
102,27,1,2010.3
102,96,2,320.77
103,25,1,1652.78
103,3,1,64028.3
104,17,1,2276.26
105,58,1,470.58
106,82,1,300.41
106,93,2,186.14
106,87,2,979.4
107,73,1,1195.7
107,32,2,910.33
108,82,1,300.41
108,48,1,1218.45
108,49,2,1254.37
109,30,1,3480.53
110,98,1,322.02
110,11,1,9461.52
111,82,1,300.41
112,37,1,1389.36
113,15,1,3494.53
113,61,2,356.45
114,30,1,3480.53
114,64,1,356.43
114,36,1,601.9
115,79,2,1101.69
